,listing_id,name,price,mileage,ext_color,int_color,transmission,drivetrain,make,model,condition,year,trim,bodystyle,dealer,state,rating,review_count,CPO
0,777769434,2011 BMW 335 i xDrive,13495.0,79662.0,Black,Black,Automatic,AWD,BMW,335,Used,2011,i xDrive,Coupe,"Car Town USA, Inc.",MA,5.0,9,False
1,771878232,2016 BMW 340 i xDrive,28500.0,53992.0,Black,Red,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,AutoMax Preowned Framingham,MA,4.7,849,False
2,762646785,2016 BMW 340 i xDrive,26900.0,33480.0,White,White,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Autobahn USA,MA,4.8,1489,False
3,765108515,2016 BMW 340 i xDrive,27900.0,33303.0,Blue,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Autobahn USA,MA,4.8,1489,False
4,765930321,2016 BMW 335 Gran Turismo i xDrive,28300.0,35032.0,Gray,Black,Automatic,AWD,BMW,335 Gran Turismo,Used,2016,i xDrive,Hatchback,Autobahn USA,MA,4.8,1489,False
5,773100102,2016 BMW 340 i xDrive,32100.0,35802.0,Blue,Red,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Autobahn USA,MA,4.8,1489,False
6,776229047,2016 BMW 340 i xDrive,30700.0,35643.0,White,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Autobahn USA,MA,4.8,1489,False
7,770905267,2015 BMW 335 Gran Turismo i xDrive,24600.0,45207.0,Black,Black,Automatic,AWD,BMW,335 Gran Turismo,Used,2015,i xDrive,Hatchback,Autobahn USA,MA,4.8,1489,False
8,775717302,2013 BMW 335 i xDrive,18108.0,73972.0,White,Beige,Other / Unknown,AWD,BMW,335,Used,2013,i xDrive,Sedan,Tasca Chrysler Jeep Dodge RAM Fiat,RI,4.9,441,False
9,761301297,2015 BMW 335 i xDrive,23795.0,42382.0,White,Brown,Other / Unknown,AWD,BMW,335,Used,2015,i xDrive,Sedan,Foley Motorsports,MA,4.9,1500,False
10,768915319,2016 BMW 340 i xDrive,29998.0,31480.0,Blue,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,m and n's autohouse,CT,5.0,8,False
11,769825932,2013 BMW 335 i xDrive,18695.0,31860.0,Brown,Other,Automatic,AWD,BMW,335,Used,2013,i xDrive,Sedan,Wiz Autos,CT,4.8,1181,False
12,758785160,2016 BMW 340 i xDrive,31654.0,29119.0,Black,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of Bridgeport,CT,4.9,1078,True
13,777175487,2016 BMW 340 i xDrive,24995.0,54487.0,Blue,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Auto Expo Ent Inc,NY,4.8,1035,False
14,777813474,2016 BMW 340 i xDrive,27495.0,31785.0,Black,Other,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Car Castle,NY,5.0,16,False
15,756809469,2013 BMW 335 i,15995.0,73782.0,White,Beige,Automatic,RWD,BMW,335,Used,2013,i,Coupe,High Speed Motors Inc.,NY,5.0,100,False
16,777995660,2016 BMW 340 i xDrive,32790.0,26193.0,White,Brown,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Wide World BMW,NY,4.7,1113,True
17,776307243,2016 BMW 340 i xDrive,33500.0,28056.0,Blue,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of Tenafly,NJ,4.9,719,True
18,776953649,2016 BMW 335 Gran Turismo i xDrive,30250.0,38907.0,White,Red,Automatic,AWD,BMW,335 Gran Turismo,Used,2016,i xDrive,Hatchback,BMW of Tenafly,NJ,4.9,719,True
19,777245750,2016 BMW 335 Gran Turismo i xDrive,27789.0,54308.0,Gray,Red,Automatic,AWD,BMW,335 Gran Turismo,Used,2016,i xDrive,Hatchback,Adams Auto Group,NJ,5.0,17,False
20,775476216,2011 BMW 335 i xDrive,11719.0,99501.0,White,Black,Automanual,AWD,BMW,335,Used,2011,i xDrive,Sedan,Jack Daniels Kia,NJ,4.9,938,False
21,767582111,2016 BMW 335 Gran Turismo i xDrive,23784.0,48375.0,Gray,Black,Automatic,AWD,BMW,335 Gran Turismo,Used,2016,i xDrive,Hatchback,Auto Holding of Mountain Lakes,NJ,4.5,327,False
22,727320769,2018 BMW 340 i,57225.0,10.0,Black,Black,Other / Unknown,RWD,BMW,340,New,2018,i,Sedan,BMW of Freehold,NJ,4.8,808,False
23,768097149,2016 BMW 340 i xDrive,33736.0,21831.0,Black,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,Flemington BMW,NJ,4.9,2617,True
24,777543016,2013 BMW 335 i xDrive,12251.0,112333.0,Gray,Black,Automatic,AWD,BMW,335,Used,2013,i xDrive,Coupe,Eimports4less Auto Sales Inc.,PA,4.9,712,False
25,775807129,2016 BMW 340 i xDrive,31393.0,35787.0,Silver,Black,Automatic,AWD,BMW,340,Used,2016,i xDrive,Sedan,BMW of the Main Line,PA,5.0,29,True
26,772326134,2007 BMW 335 xi,16900.0,40547.0,White,Orange,Automatic,AWD,BMW,335,Used,2007,xi,Sedan,HiLine Motorsports LLC,PA,4.9,159,False
27,777717569,2011 BMW 335 d,22900.0,43773.0,White,Beige,Automatic,RWD,BMW,335,Used,2011,d,Sedan,HiLine Motorsports LLC,PA,4.9,159,False
28,776788675,2009 BMW 335 i xDrive,10992.0,81173.0,White,Brown,Automatic,AWD,BMW,335,Used,2009,i xDrive,Coupe,Koons Lexus of Wilmington,DE,4.7,474,False
29,771594028,2014 BMW 335 i xDrive,20000.0,38333.0,Red,Beige,Other / Unknown,AWD,BMW,335,Used,2014,i xDrive,Sedan,Heritage Honda of Westminster,MD,4.9,1943,False
30,778326560,2011 BMW 335 is,22995.0,47827.0,White,Brown,Other / Unknown,RWD,BMW,335,Used,2011,is,Coupe,Chantilly Auto Sales,VA,4.6,66,False
31,760883425,2015 BMW 335 i xDrive,19700.0,63593.0,Black,Black,Automatic,AWD,BMW,335,Used,2015,i xDrive,Sedan,LW Automotive,PA,4.5,137,False
32,772542932,2018 BMW 340 i xDrive,45867.0,6026.0,Blue,Black,Automatic,AWD,BMW,340,Used,2018,i xDrive,Sedan,Preston BMW,OH,5.0,20,True
33,768352254,2011 BMW 335 i xDrive,12989.0,64283.0,Gold,Beige,Automatic,AWD,BMW,335,Used,2011,i xDrive,Sedan,HAUS AUTO GROUP,OH,4.9,358,False
